date_created,product_number,type_claim,dispatch_center,country,reported_quantity,problem,client_keep_product
2023-10-06 09:40:35.095,50000615,calidad,1063,GT,22,rust,True
2023-10-19 12:00:55.143,50000086,calidad,1072,GT,1,fold,True
2023-10-19 16:33:27.839,50000647,calidad,1072,GT,2,rust,False
2023-10-24 15:01:48.867,50000532,calidad,1072,GT,01,damaged,False
2023-10-24 15:03:34.616,50000719,calidad,1072,GT,02,fold,False
2023-10-26 12:21:57.118,50000083,calidad,1072,GT,175,rust,False
2023-10-26 11:19:19.782,50001583,calidad,1072,GT,3,damaged,False
2023-10-26 15:17:36.324,50000746,calidad,1072,GT,8,damaged,False
2023-10-27 17:17:35.254,50000334,calidad,1072,GT,10,rust,False
2023-10-31 16:30:22.030,50001351,calidad,1072,GT,1,damaged,False
2023-11-03 08:00:48.499,50010499,calidad,1063,GT,6,damaged,True
2023-11-03 11:34:29.671,50000814,calidad,1072,GT,90,technical_especification,False
2023-11-06 08:45:57.109,50000232,calidad,1072,GT,150,fold,True
2023-11-06 08:48:02.399,50000232,calidad,1072,GT,50,fold,True
2023-11-09 11:45:55.135,50000586,calidad,1072,GT,1,damaged,True
2023-11-13 21:31:58.683,50000424,calidad,1072,GT,1,rust,True
2023-11-13 22:17:07.199,50000943,calidad,1072,GT,1,damaged,True
2023-11-16 14:44:57.256,50013761,calidad,1072,GT,91,technical_especification,True
2023-11-20 16:37:18.031,50000593,calidad,1072,GT,1,damaged,False
2023-11-23 09:01:20.868,50000232,calidad,1072,GT,50,fold,True
2023-11-23 15:55:03.621,50000775,calidad,1072,GT,30,manufacture_issue,False
2023-11-23 16:00:25.211,50000449,calidad,1072,GT,1,damaged,False
2023-11-24 11:13:22.884,50000337,calidad,1063,GT,10,rust,True
2023-11-24 11:14:12.327,50000337,calidad,1063,GT,10,rust,True
2023-11-27 16:13:47.769,50000513,calidad,1072,GT,1,fold,False
2023-11-27 16:55:38.447,50000593,calidad,1072,GT,1,rust,False
2023-11-28 11:28:38.031,50000674,cantidad diferente,1072,GT,20,missing_amount,False
2023-11-28 16:37:05.218,50001572,calidad,1072,GT,1,fold,False
2023-11-29 10:01:08.174,50000437,calidad,1072,GT,2,manufacture_issue,False
2023-11-29 10:11:38.402,50004396,calidad,1072,GT,9,manufacture_issue,False
2023-11-29 12:25:18.228,50000817,calidad,1072,GT,10,manipulation_damage,False
2023-11-29 12:28:32.621,31000116,calidad,1072,GT,10,manipulation_damage,False
2023-11-29 15:20:23.087,50000347,cantidad diferente,1072,GT,1,missing_amount,False
2023-11-29 16:39:43.189,70000640,cantidad diferente,1074,GT,18,missing_amount,False
2023-11-30 11:22:45.909,50000331,calidad,1072,GT,40,technical_especification,False
2023-12-04 08:10:28.510,50000652,calidad,1072,GT,1,manufacture_issue,False
