"id_claim_number","id_case_number","case_serial","date_created","sku","name","user_description","id_dispatch_center","value"
1790,2868,RC-1790-CS-2868-GT,2023-10-06 09:40:35.095,50000615,Calidad,Seleccion de tipo problema de calidad,1063,rust
1790,2868,RC-1790-CS-2868-GT,2023-10-06 09:40:35.095,50000615,Calidad,Cantidad reportada problemas de calidad,1063,"22"
1790,2868,RC-1790-CS-2868-GT,2023-10-06 09:40:35.095,50000615,Calidad,"Cliente se queda con el producto, problemas de calidad",1063,true
1790,2868,RC-1790-CS-2868-GT,2023-10-06 09:40:35.095,50000615,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,1063,"30.65"
2211,3240,RC-2211-CS-3240-PA,2024-04-05 07:34:23.742,50000853,Cantidad diferente,Resultado de seleccion producto faltante o sobrante,6083,missing_amount
1801,2875,RC-1801-CS-2875-GT,2023-10-19 12:00:55.143,50000086,Calidad,Seleccion de tipo problema de calidad,1072,fold
1801,2875,RC-1801-CS-2875-GT,2023-10-19 12:00:55.143,50000086,Calidad,Cantidad reportada problemas de calidad,1072,"1"
1801,2875,RC-1801-CS-2875-GT,2023-10-19 12:00:55.143,50000086,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,true
1801,2875,RC-1801-CS-2875-GT,2023-10-19 12:00:55.143,50000086,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,1072,"2.00"
1802,2876,RC-1802-CS-2876-GT,2023-10-19 16:33:27.839,50000647,Calidad,Seleccion de tipo problema de calidad,1072,rust
1802,2876,RC-1802-CS-2876-GT,2023-10-19 16:33:27.839,50000647,Calidad,Cantidad reportada problemas de calidad,1072,"2"
1802,2876,RC-1802-CS-2876-GT,2023-10-19 16:33:27.839,50000647,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,false
1804,2878,RC-1804-CS-2878-GT,2023-10-24 15:01:48.867,50000532,Calidad,Seleccion de tipo problema de calidad,1072,damaged
1804,2878,RC-1804-CS-2878-GT,2023-10-24 15:01:48.867,50000532,Calidad,Cantidad reportada problemas de calidad,1072,"01"
1804,2879,RC-1804-CS-2879-GT,2023-10-24 15:03:34.616,50000719,Calidad,Seleccion de tipo problema de calidad,1072,fold
1804,2879,RC-1804-CS-2879-GT,2023-10-24 15:03:34.616,50000719,Calidad,Cantidad reportada problemas de calidad,1072,"02"
1807,2880,RC-1807-CS-2880-GT,2023-10-26 11:19:19.782,50001583,Calidad,Seleccion de tipo problema de calidad,1072,damaged
1807,2880,RC-1807-CS-2880-GT,2023-10-26 11:19:19.782,50001583,Calidad,Cantidad reportada problemas de calidad,1072,"3"
1807,2880,RC-1807-CS-2880-GT,2023-10-26 11:19:19.782,50001583,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,false
1806,2881,RC-1806-CS-2881-GT,2023-10-26 12:21:57.118,50000083,Calidad,Seleccion de tipo problema de calidad,1072,rust
1806,2881,RC-1806-CS-2881-GT,2023-10-26 12:21:57.118,50000083,Calidad,Cantidad reportada problemas de calidad,1072,"175"
1806,2881,RC-1806-CS-2881-GT,2023-10-26 12:21:57.118,50000083,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,false
1808,2882,RC-1808-CS-2882-GT,2023-10-26 15:17:36.324,50000746,Calidad,Seleccion de tipo problema de calidad,1072,damaged
1808,2882,RC-1808-CS-2882-GT,2023-10-26 15:17:36.324,50000746,Calidad,Cantidad reportada problemas de calidad,1072,"8"
1808,2882,RC-1808-CS-2882-GT,2023-10-26 15:17:36.324,50000746,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,false
1815,2886,RC-1815-CS-2886-GT,2023-11-03 08:00:48.499,50010499,Calidad,Seleccion de tipo problema de calidad,1063,damaged
1815,2886,RC-1815-CS-2886-GT,2023-11-03 08:00:48.499,50010499,Calidad,Cantidad reportada problemas de calidad,1063,"6"
1815,2886,RC-1815-CS-2886-GT,2023-11-03 08:00:48.499,50010499,Calidad,"Cliente se queda con el producto, problemas de calidad",1063,true
1815,2886,RC-1815-CS-2886-GT,2023-11-03 08:00:48.499,50010499,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,1063,"6.00"
1817,2887,RC-1817-CS-2887-GT,2023-11-03 11:34:29.671,50000814,Calidad,Seleccion de tipo problema de calidad,1072,technical_especification
1817,2887,RC-1817-CS-2887-GT,2023-11-03 11:34:29.671,50000814,Calidad,Cantidad reportada problemas de calidad,1072,"90"
1817,2887,RC-1817-CS-2887-GT,2023-11-03 11:34:29.671,50000814,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,false
1818,2888,RC-1818-CS-2888-GT,2023-11-06 08:45:57.109,50000232,Calidad,Seleccion de tipo problema de calidad,1072,fold
1818,2888,RC-1818-CS-2888-GT,2023-11-06 08:45:57.109,50000232,Calidad,Cantidad reportada problemas de calidad,1072,"150"
1818,2888,RC-1818-CS-2888-GT,2023-11-06 08:45:57.109,50000232,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,true
1818,2888,RC-1818-CS-2888-GT,2023-11-06 08:45:57.109,50000232,Calidad,Campo que almacena el valor de descuento seleccionado por problemas de calidad,1072,"4.00"
1819,2889,RC-1819-CS-2889-GT,2023-11-06 08:48:02.399,50000232,Calidad,Seleccion de tipo problema de calidad,1072,fold
1819,2889,RC-1819-CS-2889-GT,2023-11-06 08:48:02.399,50000232,Calidad,Cantidad reportada problemas de calidad,1072,"50"
1819,2889,RC-1819-CS-2889-GT,2023-11-06 08:48:02.399,50000232,Calidad,"Cliente se queda con el producto, problemas de calidad",1072,true
